1,1,2012/02/01 09:00:00 JST,A001,チームミーティング
2,1,2012/02/01 09:24:20 JST,A003,進捗報告会
3,1,2012/02/01 10:31:49 JST,B012,テスト
4,1,2012/02/01 12:07:12 JST,Z001,休憩
5,1,2012/02/01 13:00:47 JST,C001,レビュー
6,1,2012/02/01 14:21:33 JST,B002,概要設計
7,1,2012/02/01 17:17:02 JST,D001,品質会議
8,2,2012/02/02 09:12:00 JST,A001,チームミーティング
9,2,2012/02/02 10:00:27 JST,B002,概要設計
10,2,2012/02/02 11:27:03 JST,Z001,休憩
11,2,2012/02/02 12:47:11 JST,B002,概要設計
12,2,2012/02/02 15:22:19 JST,C001,レビュー
13,2,2012/02/02 17:00:24 JST,Z002,事務作業
14,3,2012/02/03 09:07:00 JST,A001,チームミーティング
15,3,2012/02/03 09:18:02 JST,A003,進捗報告会
16,3,2012/02/03 11:07:02 JST,B001,要件定義
17,3,2012/02/03 13:01:02 JST,Z001,休憩
18,3,2012/02/03 14:02:00 JST,G001,問い合せ対応
19,3,2012/02/03 15:22:27 JST,B001,要件定義
20,3,2012/02/03 17:02:20 JST,B002,概要設計
21,3,2012/02/03 18:24:32 JST,G001,問い合せ対応
22,4,2012/02/06 08:50:00 JST,A001,チームミーティング
23,4,2012/02/06 09:12:23 JST,A003,進捗報告会
24,4,2012/02/06 10:27:24 JST,B011,コーディング
25,4,2012/02/06 12:19:20 JST,Z001,休憩
26,4,2012/02/06 13:07:23 JST,G001,問い合せ対応
27,4,2012/02/06 14:18:20 JST,F001,稼動後フォロー
28,4,2012/02/06 16:02:22 JST,B011,コーディング
29,5,2012/02/07 09:27:00 JST,A001,チームミーティング
30,5,2012/02/07 10:00:20 JST,A002,顧客打ち合わせ
31,5,2012/02/07 12:22:20 JST,Z001,休憩
32,5,2012/02/07 13:20:12 JST,E001,本番準備
33,5,2012/02/07 17:00:20 JST,D001,品質会議
34,5,2012/02/07 18:20:20 JST,Z002,事務作業
35,6,2012/02/08 08:34:00 JST,A001,チームミーティング
36,6,2012/02/08 09:52:33 JST,A003,進捗報告会
37,6,2012/02/08 10:27:42 JST,B011,コーディング
38,6,2012/02/08 12:00:30 JST,Z001,休憩
39,6,2012/02/08 12:49:22 JST,G001,問い合せ対応
40,6,2012/02/08 13:33:20 JST,F001,稼動後フォロー
41,6,2012/02/08 14:57:22 JST,B012,テスト
42,6,2012/02/08 16:52:27 JST,C001,レビュー
43,6,2012/02/08 18:02:44 JST,Z002,事務作業
44,6,2012/02/08 19:22:17 JST,B012,テスト
45,7,2012/02/09 10:12:00 JST,E002,リリース作業
46,7,2012/02/09 12:22:19 JST,Z001,休憩
47,7,2012/02/09 13:27:10 JST,E002,リリース作業
48,8,2012/02/10 09:21:00 JST,G001,問い合せ対応
49,8,2012/02/10 10:37:22 JST,F001,稼動後フォロー
50,8,2012/02/10 12:33:02 JST,Z001,休憩
51,8,2012/02/10 13:22:20 JST,A001,チームミーティング
52,8,2012/02/10 14:00:20 JST,A003,進捗報告会
53,8,2012/02/10 15:27:23 JST,B001,要件定義
54,8,2012/02/10 16:47:21 JST,B002,概要設計
55,8,2012/02/10 18:44:21 JST,C001,レビュー
56,9,2012/02/13 14:07:30 JST,E002,リリース作業
57,10,2012/02/14 10:11:30 JST,G001,問い合せ対応
58,10,2012/02/14 12:21:20 JST,Z001,休憩
59,10,2012/02/14 13:22:10 JST,B011,コーディング
60,11,2012/02/15 09:02:13 JST,B012,テスト
61,11,2012/02/15 12:11:17 JST,Z001,休憩
62,11,2012/02/15 13:00:17 JST,D001,品質会議
63,11,2012/02/15 15:07:10 JST,B012,テスト
64,12,2012/02/16 10:17:32 JST,B003,詳細設計
65,12,2012/02/16 11:27:20 JST,G001,問い合せ対応
66,12,2012/02/16 14:07:22 JST,Z001,休憩
67,12,2012/02/16 15:00:27 JST,C001,レビュー
68,12,2012/02/16 16:12:22 JST,B003,詳細設計
69,12,2012/02/16 18:10:00 JST,Z002,事務作業
70,12,2012/02/16 19:02:14 JST,E001,本番準備
71,13,2012/02/17 09:21:18 JST,E001,本番準備
72,13,2012/02/17 12:00:17 JST,C001,レビュー
73,13,2012/02/17 13:07:10 JST,Z001,休憩
74,13,2012/02/17 14:01:01 JST,A002,顧客打ち合わせ
75,13,2012/02/17 18:07:11 JST,B001,要件定義
76,14,2012/02/20 10:11:42 JST,A001,チームミーティング
77,14,2012/02/20 10:47:11 JST,A003,進捗報告会
78,14,2012/02/20 11:17:01 JST,B002,概要設計
79,14,2012/02/20 12:11:01 JST,Z001,休憩
80,14,2012/02/20 13:00:07 JST,C002,受け入れテスト
81,15,2012/02/21 08:42:13 JST,B012,テスト
82,15,2012/02/21 10:20:10 JST,Z002,事務作業
83,15,2012/02/21 10:57:02 JST,D001,品質会議
84,15,2012/02/21 12:00:17 JST,Z001,休憩
85,15,2012/02/21 13:07:22 JST,C001,レビュー
86,15,2012/02/21 14:00:07 JST,B003,詳細設計
87,15,2012/02/21 16:20:27 JST,F001,稼動後フォロー
88,15,2012/02/21 19:02:20 JST,G001,問い合せ対応
89,16,2012/02/22 09:11:33 JST,E002,リリース作業
